name;inventoryNumber;manufacturer;articleType;description;inspectionInterval;value;serialNumber;din;specification;manufacturingDate;warehouse;deviceClass;deviceSubclass;designationLB;commissionedDate;decommissionedDate;communityInventoryNumber;mpFeuerInventoryNumber;retirementPeriodMonths;pruefgrundsaetze
Handscheinwerfer, EX;WA 9;Lacont;Adalit L 2000-LB;Akku defekt;12;;31083;DIN 14 642;NI-Cd;2009;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Handscheinwerfer, EX;WA 10;Lacont;Adalit L 2000-LB;Akku defekt;12;;36280;DIN 14 642;NI-Cd;2009;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Warnleuchte nach StVZO;120093;ULO;Rundumleuchte;;12;;;;24V;1999;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Winkerkelle;13225;;Rot/Grün;;12;;;;;1999;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Warndreieck n. StVO;120094;;;;;;;;;1999;LF8;Signal- & Beleuchtungsgeräte;Geräte Verkehrssicherung;LB12;;;;;;
"Warndreieck ""Unfall""";120095;;;kleine Ausführung;;;17695;;;1999;LF8;Signal- & Beleuchtungsgeräte;Geräte Verkehrssicherung;LB12;;;;;;
"Warndreieck ""Ölspur""";120096;;;kleine Ausführung;;;17696;;;1999;LF8;Signal- & Beleuchtungsgeräte;Geräte Verkehrssicherung;LB12;;;;;;
Handscheinwerfer EX;13230;;;;;;;;;1999;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Ex-Helmleuchten;120097;Underwater Kinetics;UK 4AA-EN 2;nur 9 verfügbar und prüfbar;12;560;;DIN EN 60 079;Mignon AA;2003;GH;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Spannungswandler 12/24V;120098;;;Zubehör Fahrzeug;;;;;;1999;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Hand-Sprechfunk 2 m;1;Bosch;FTZ Nr. 233/72;Erfassung Funk;12;;9470199;;31,32,50,55;1999;LF8;Signal- & Beleuchtungsgeräte;Funkgeräte & Melder;LB12;;;;;;
Hand-Sprechfunk 2 m;2;Bosch;FTZ Nr. 233/72;Erfassung Funk;12;;3680109;;31,50,53,55,56;1999;LF8;Signal- & Beleuchtungsgeräte;Funkgeräte & Melder;LB12;;;;;;
Hand-Sprechfunk 2 m;3;Bosch;FTZ Nr. 233/72;Erassung Funk;12;;3680108;;31,50,55;1999;LF8;Signal- & Beleuchtungsgeräte;Funkgeräte & Melder;LB12;;;;;;
Hand-Sprechfunk 2 m;4;Bosch;FTZ Nr. 233/72;Erassung Funk;12;;3680121;;31,50,53,55,56;1999;LF8;Signal- & Beleuchtungsgeräte;Funkgeräte & Melder;LB12;;;;;;
Hand-Sprechfunk 2 m;5;Bosch;FTZ Nr. 233/72;Erassung Funk;12;;3620238;;31,50,53,55,56;1999;LF8;Signal- & Beleuchtungsgeräte;Funkgeräte & Melder;LB12;;;;;;
Hand-Sprechfunk 2 m;6;Motorola;Pj 302D GP 900 11b;;12;;402 TCQ 0812;;1-125;;LF8;Signal- & Beleuchtungsgeräte;Funkgeräte & Melder;LB12;;;;;;
Hand-Sprechfunk 2 m;7;Motorola;PG 302 040;mir Sprechgarnitur;12;;018 TJH 2702;;23,50,55,56;;LF8;Signal- & Beleuchtungsgeräte;Funkgeräte & Melder;LB12;;;;;;
Ladegerät FUG 10;120099;;;Erfassung Funk;;;;;;;GH;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Funkgerät 4m;120100;Bosch;PG228D;;12;;9651274;;470 G/U;1999;LF8;Signal- & Beleuchtungsgeräte;Funkgeräte & Melder;LB12;;;;;;
Funkgerät HRT;120101;Sepura;;;12;;;;Digital;2012;LF8;Signal- & Beleuchtungsgeräte;Funkgeräte & Melder;LB12;;;;;;
Funkgerät MRT;120102;Sepura;SRG3900;;12;;;;Digital;2012;LF8;Signal- & Beleuchtungsgeräte;Funkgeräte & Melder;LB12;;;;;;
Dunghacke;120103;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Mistgabel;120104;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Schaufel flach;120105;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Stoßbesen;120106;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Werkzeugkasten Allgemein;13208;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Schornsteinfegerwerkzeugkasten;13209;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Kaminkehrgerät;120107;;;Inhalt Kasten;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Axt;120108;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Feuerwehraxt;120109;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Vorschlaghammer;120110;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Brechstange;120111;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Werkzeugkasten E;120112;;1000V;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Bügelsäge;120113;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Stichsäge;120114;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Baumschere;120115;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Drahltschere;120116;;rot;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Spaten;120117;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Klappspaten;120118;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Feuerwehrbeil;120119;;;;12;;;DIN EN 14924;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Haligantool;120120;;;;;;;;;2014;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Werkbank;120121;;;;;;;;;;GH;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Schraubstock;120122;;;;;;;;;;GH;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Einreißhaken;120123;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Feuerpatschen;120124;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Bohrmaschine;120125;;;;;;;;;;GH;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Motortrennschleifer TS 350;120126;Stihl;;;12;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Winkelschleifer;120127;;;;;;;;;;GH;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Motor Lüfter GX 160 5,5 KW;13192;Honda;;HALE / Typhoon;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Hochleistungslüfter 24H5 Thyphoon;13192;FireDumpCompanie;;HALE / Typhoon;;;20404;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Tragkraftspritze TS 8/8;120128;Magirus;;;12;;;DIN 14420;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Tauchpumpe B 780l/min;13214;MAST;PVR 305/10/84;;12;;43312;DIN 14425;TP 4-1;1999;LF8;Arbeitsgeräte;Pumpen;LB12;;;;;;
Tauchpumpe D 330l/min;120129;MAST;PVR 305/10/84;;12;39.95;90728;DIN 14425;TP K5;1999;LF8;Arbeitsgeräte;Pumpen;LB12;;;;;;
Tauchpunmpe 1350l/h;120130;MAST;PVR FT 6/1295/10;;12;;14307;DIN 14425;TP 8-1;2013;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Tauchpunmpe 1100l/h;120131;EINHELL;FLTP 750-S;;12;;EB016901;DIN 14425;;2006;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Tauchpunmpe 1600l/h;120132;METABO;TPS 16000;;12;;9174245681;DIN 14420;;2009;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
TS 8/8 (alt);13245;;;;;;;;;1964;GH;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Abgassschlauch;120133;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Kraftstoff Doppelkanister;120134;;;Zubehör Mororsäge;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Benzinkanister 10 Liter;120135;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Ausgießer für Benzinkanister;120136;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Abgasschlauch 2 m;120137;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Benzinkanister 5 Liter;120138;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Schrankenschlüssel;120139;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Winde, hydraulisch;120140;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Abschleppseil;120141;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Schäkel;120142;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Unterlegkeil;120143;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Treibstoffkanister;120144;;;;;40;;;;;GH;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Ölbindemittel;120145;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Kanister Bio-Chem;120146;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Gartenspritzen;120147;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Schlauchbrücken;120148;;;;;;;;;1999;LF8;Arbeitsgeräte;Geräte & Werkzeuge;LB12;;;;;;
Standrohr 2 B;13191;AWG;2B;;1;;;DIN 15182;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Standrohrschlüssel;120149;;;;0;;;;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Schlüssel Überflurhydrant;120150;;;;0;;;;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Kanaldeckelschachthaken;120151;;;;0;;;;;1999;LF8;Löschgeräte;Löschgeräte;LB12;;;;;;
Schlauchtragekorb;13204;;;;0;;;;;1999;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Strahlrohr f. Schnellangriff;13216;;Hohlstrahlrohr Typ C;;1;;;;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Strahlrohr BM;13217;AWG;BM;;1;;;DIN 15182;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Strahlrohr CM;120152;AWG;CM;;1;;;DIN 15182;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Strahlrohr DM;120153;AWG;DM;;1;;;DIN 15182;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Stützkrümmer SK B;120154;AWG;B;;1;;;DIN 15182;;1999;LF8;Löschgeräte;Löschgeräte;LB12;;;;;;
Kupplungsschlüssel ABC;120155;;;;0;;;;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Seilschlauchhalter;120156;;;;0;;;;;1999;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Schlauchschellen C;120157;;;;0;;;;;1999;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Schlauchschellen B;120158;;;;0;;;;;1999;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Arbeitsleine;120159;;;;0;;;;;1999;LF8;Löschgeräte;Löschgeräte;LB12;;;;;;
Übergangsstück A-B;120160;;A-B;;1;;;;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Übergangsstück B-C;120161;;B-C;;1;;;;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Übergangsstück C-D;120162;;C-D;;1;;;;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Übergangsstück D-GKF;120163;;D-GK;;1;;;;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Verteiler;13221;AWG;CCB;;1;;;DIN 15182;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Sammelstück A-2B;120164;AWG;ABB;;1;;;DIN 15182;;1999;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Sammelstück B-CC;120165;AWG;BCC;;1;;;DIN 15182;;1972;LF8;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Saugschutzkorb A;120166;;;;0;;;;;1999;LF8;Löschgeräte;Löschgeräte;LB12;;;;;;
Absperrventil B;120167;AWG;B;;1;;;DIN 15182;;1999;LF8;Löschgeräte;Löschgeräte;LB12;;;;;;
Absperrventil C;120168;AWG;C;;1;;;DIN 15182;;1999;LF8;Löschgeräte;Löschgeräte;LB12;;;;;;
Standrohr B;120169;AWG;2B;;1;;;DIN 15182;;1972;SA;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Schlauchhaspel;120170;;;;0;;;;;1989;SA;Löschgeräte;Schläuche;LB12;;;;;;
Verteiler 3xB;120171;;;;0;;;;;1989;SA;Löschgeräte;Wasserführende Armaturen;LB12;;;;;;
Druckschlauch D 15;120172;;D-15;;1;;1;DIN 14811/1;15m;1999;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Druckschlauch D 6;120173;;D-6;;1;;2;DIN 14811/1;6m;1999;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Druckschlauch D 5;120174;;D-5;;1;;3;DIN 14811/1;5m;1999;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Druckschlauch S 50;120175;;S-50;nv - defekt?;1;;;DIN 14811/1;50m;1999;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Druckschlauch S 28;120176;;S-28;nv - defekt?;0;;;;28m;1999;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Füllschlauch B;HSW12-162;;B-3;;0;;;;3m;1999;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Ansaugschlauch für Zumischer;HSW12-164;Petzetakis;B1;;1;;;;1,5m;1999;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Druckschlauch B 15;120177;;;;0;;;;;;SA;Löschgeräte;Schläuche;LB12;;;;;;
Druckschlauch B 30;HSW12-101;;B30;;1;;;DIN 14811/1;30m;;SA;Löschgeräte;Schläuche;LB12;;;;;;
Druckschlauch B 20;HSW12-129;;B-20;;1;;;DIN 14811/1;20m;;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Druckschlauch C 15;HSW12-201;;C-15;;1;;;DIN 14811/1;15m;;LF8;Löschgeräte;Schläuche;LB12;;;;;;
Saugschlauch A-1500 K;120178;AWG;A-1500K;;1;;1,2,3,4;DIN 14810;150cm;1999;SA;Löschgeräte;Schläuche;LB12;;;;;;
Seilrolle;197;Petzl;;;12;;05105F;;;2005;LF8;Rettungsgeräte;Spanngurte & Seile;LB12;;;;;;
Rettungsdreick mit Trägern;120179;Petzl;Pitagor C80BR;;12;;13197SL7540;DIN EN 1498;rot/schwarz;2013;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Transportgehänge;547;Skylotec;;;;;;;;2005;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Genähte Schlinge 60 cm;120180;;;Zubehör Höhens.;;;;;;1997;LF8;Rettungsgeräte;Spanngurte & Seile;LB12;;;;;;
Genähte Schlinge 150 cm;120181;;;Zubehör Höhens.;;;;;;1997;LF8;Rettungsgeräte;Spanngurte & Seile;LB12;;;;;;
Verriegelbarer Karabiner 23 kN;120182;Edelrid;HMS Triplelock;Zubehör Höhens.;12;;;DIN 14800-17;silber;2013;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Karabiner HMS;120183;Edelrid;Karabiner HMS;;12;;;DIN 14800-17;silber;2008;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Karabiner Multi HMS;120184;Edelrid;Karabiner Triplelock;;12;;;DIN 14800-17;grau;2008;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Karabiner Omni;120185;Petzl;Omni M37SL;;12;;407;DIN 14800-17;silber;2008;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Karabiner OK Stahl;120186;Ets FOIN;OK Karabiner;;12;;;DIN 14800-17;silber;2008;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
40 m Kernmanteldynamikseil;13223;;;Zubehör Höhens.;;;;;;2000;LF8;Rettungsgeräte;Spanngurte & Seile;LB12;;;;;;
Fangleine;120187;;Feuerwehrleine F 30-K;;12;;90770;DIN EN 14 920;30m;2ß17;LF8;Rettungsgeräte;Feuerwehrleinen;LB12;;;;;;
Fangleine;120188;;Feuerwehrleine F 30-K;;12;;IV/1457/98;DIN EN 14 920;30m;2019;LF8;Rettungsgeräte;Feuerwehrleinen;LB12;;;;;;
Fangleine;120189;;Feuerwehrleine F 30-K;;12;;IV/23/1457/98;DIN EN 14 920;30m;2020;LF8;Rettungsgeräte;Feuerwehrleinen;LB12;;;;;;
Fangleine;120190;;Feuerwehrleine F 30-K;;12;;1910748/2020-0699;DIN EN 14 920;30m;2022;LF8;Rettungsgeräte;Feuerwehrleinen;LB12;;;;;;
Fangleinenbeutel;120191;;rot, ohne Werkzeug;;;;D-26203;;;1999;LF8;Rettungsgeräte;Feuerwehrleinen;LB12;;;;;;
Fangleinenbeutel;120192;;schwarz, mit Werkzeug;;;;;;;2020;LF8;Rettungsgeräte;Feuerwehrleinen;LB12;;;;;;
FW Haltegurt;120193;;Typ A;;12;;19635000333;DIN 14927:2005-09;Größe 5;2019;GH;Rettungsgeräte;Feuerwehrhaltegurte;LB12;;;;;;
FW Haltegurt;120194;;Typ A;;12;;2ß634000047;DIN 14927:2005-09;Größe 4;2020;GH;Rettungsgeräte;Feuerwehrhaltegurte;LB12;;;;;;
FW Haltegurt;120195;;Typ A;;12;;56307-016;DIN 14927:2005-09;Größe 4;2016;GH;Rettungsgeräte;Feuerwehrhaltegurte;LB12;;;;;;
FW Haltegurt;120196;;Typ A;;12;;56307-001;DIN 14927:2005-09;Größe 4;2016;GH;Rettungsgeräte;Feuerwehrhaltegurte;LB12;;;;;;
FW Haltegurt;120197;;Typ A;;12;;56421-021;DIN 14927:2005-09;Größe 3;2016;GH;Rettungsgeräte;Feuerwehrhaltegurte;LB12;;;;;;
FW Haltegurt;120198;;Typ A;;12;;56421-011;DIN 14927:2005-09;Größe 3;2016;GH;Rettungsgeräte;Feuerwehrhaltegurte;LB12;;;;;;
FW Haltegurt;120199;;Typ A;;12;;55250-091;DIN 14927:2005-09;Größe 2;2016;GH;Rettungsgeräte;Feuerwehrhaltegurte;LB12;;;;;;
FW Haltegurt;120200;;Typ A;;12;;19631002653;DIN 14927:2005-09;Größe 1;2019;GH;Rettungsgeräte;Feuerwehrhaltegurte;LB12;;;;;;
FW Haltegurt;120201;;Typ A;;12;;19631002681;DIN 14927:2005-09;Größe 1;2019;GH;Rettungsgeräte;Feuerwehrhaltegurte;LB12;;;;;;
Auffanggurt/Rettungsweste;120202;Petzl;C73JF02;;12;;;DIN EN 361;Gr 2;2011;LF8;Rettungsgeräte;Feuerwehrhaltegurte;LB12;;;;;;
Schleifkorbtrage;13197;Kaufmann;;;12;;;;Edelstahl;2010;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Klappleiter - Holz;120203;;;nur für Übungszwecke;12;;;DIN EN 1147;;1990;LF8;Rettungsgeräte;Tragbare Leitern;LB12;;;;;;
Steckleiter 4-teilig;13190;;LM;;12;;;DIN EN 1147;4 teilig;1999;LF8;Rettungsgeräte;Tragbare Leitern;LB12;;;;;;
Schiebeleiter 3-teilig;120204;;;;;180;;;;;GH;Rettungsgeräte;Tragbare Leitern;LB12;;;;;;
Treppenleiter;120205;;;;;50;;;;;GH;Rettungsgeräte;Tragbare Leitern;LB12;;;;;;
2-teilige Schiebeleiter;120206;;;nicht mehr zugelassen;;;;;;;GH;Rettungsgeräte;Tragbare Leitern;LB12;;;;;;
Hydraulik-Pumpenaggregat;13210;Weber Hydraulik;;;;;162158;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Hydraulik Schlauch;120207;Weber Hydraulik;Rot;;12;;QC36242811;;20m;2010;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Hydraulik Schlauch;120208;Weber Hydraulik;Gelb;;12;;QC36240962;;20m;2010;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Schneidgerät S 180;13211;Weber Hydraulik;S 180 59947.6;;;;59947.6;DIN 14 751 T1;2388;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Spreizer SP 30 LS;13212;Weber Hydraulik;SP 30 LS-5 9805,1;;;;59805.1;DIN 14 751 T1;2857;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Rettungszylinder;120209;Weber Rescue;RZT2;;;;1166;DIN EN 13204;1500mm;2014;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Rettungszylinder;120210;Weber Rescue;RZT2;;;;2105;DIN EN 13204;775mm;2014;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Verlängerung für RZT2;120211;Weber Rescue;;;;;3864588;;max.168KN;2014;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Schwelleraufsatz;120212;Weber Rescue;;;;;8121737;;Sillsupport;2014;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Druckplatte;120213;Weber Rescue;;;;;;;Armaturenbrett;2014;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Pressluftatmer;120214;INTERSPIRO;;Erfassung Atemschutz;12;;;DIN EN 137;;2008;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Atemluftflaschen 6 Liter;120215;INTERSPIRO;Spiromatic 90L;Erfassung Atemschutz;12;;;DIN EN 144;;2008;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Atemschutzmasken;120216;DRÄGER;Panorama Nova;Erfassung Atemschutz;12;;;DIN EN 136;;2013;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Brandfluchthauben;120217;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Motorsäge Stihl 044;13202;Stihl;;Sägeschiene 40cm;12;;11289673301as;DIN EN ISO 19432;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Ersatzkette f. Motorsäge;120218;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Doppelkanister Bezin/Öl;120219;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Auffangwannen Zink;120220;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Kanaldichtkissen;120221;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Glassäge;120222;Weber Rescue;;;;;;;mit Federkörner;2014;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Kettensatzbox;13213;KWB;KSS8;;;;;;Zugkraft 4000N;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Brecheisen;120223;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Blechschneider;120224;Feuerwehrbedarfsfabrik;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Federkörner;120225;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Kabelschere;120226;;K101/1;;;;Klauke;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Gurtmesser;120227;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Fenstergummimesser;120228;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Spreizerersatzbacken;120229;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Montiereisen;120230;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Trennscheibe f. Metall;120231;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Trennscheibe f. Stein;120232;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Unterbauholz für VU;120233;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Kranschlaufen 3 t;120234;;;;;;;;;1999;LF8;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Spanngurte LC 2500daN;120235;;;;;;;;;1999;LF8;Rettungsgeräte;Spanngurte & Seile;LB12;;;;;;
Stihl-Flex 350 Ø;120236;;;nicht mehr zugelassen;;800;;;;;GH;Rettungsgeräte;Rettungsgeräte;LB12;;;;;;
Motor Stromerzeuger 7,8KW;13198;Briggs Stratton;;Knorz;12;;9122030593;;;1999;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Stromerzeuger 5 kVA;13198;Kirsch;;Knorz;12;;20144;;;1999;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Flutlichtstrahler;13199;Meister;BS 1000;IP 55;12;;57 097;DIN VDE 0702-1;1000 W, 230V;1999;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Flutlichtstrahler;13199;Meister;BS 1000;IP 55;12;;57 098;DIN VDE 0702-1;1000 W, 230V;1999;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Stativ f. Flutlicht;17629;Bosch;Lzu 15;Zubehör Strahler;12;;;;;1999;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Aufnahmebrücke f. Flutl.;120237;;;Zubehör Strahler;;;;;;1999;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Abzweigstück 3-fach;120238;Bosch;1-3;IP 55;12;;;DIN VDE 0702-1;230V;1999;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Erdnägel mit Abspannseilen;120239;;;Zubehör Strahler;;;;;;1999;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
