name;inventoryNumber;manufacturer;articleType;description;inspectionInterval;value;serialNumber;din;specification;manufacturingDate;warehouse;deviceClass;deviceSubclass;designationLB;commissionedDate;decommissionedDate;communityInventoryNumber;mpFeuerInventoryNumber;retirementPeriodMonths;pruefgrundsaetze
Rundschlinge 3t;120034;Dolezych;;;12;;DD119860760020182;;WLL 3000kg;2021-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2021-01-01;;;;120;DGUV 305-002
Rundschlinge 3t;120035;Dolezych;;;12;;DD119860760020183;;WLL 3000kg;2021-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2021-01-01;;;;120;DGUV 305-002
Rundschlinge 2,2t;120036;Ellipse;;;12;;09998S;;PPLSAC20;2022-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2022-01-01;;;;120;DGUV 305-002
Rundschlinge 2,2t;120037;Ellipse;;;12;;09998S144;;PPLSAC20;2022-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2022-01-01;;;;120;DGUV 305-002
Spanngurt ohne Ratsche;120038;Dolezych;;;12;;;;Spanngurt 2,5t;2021-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2021-01-01;;;;120;DGUV 305-002
Ratsche für Spanngurt;120039;Dolezych;;;12;;;;Ratsche für Spanngurt 2,5t;2021-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2021-01-01;;;;120;DGUV 305-002
Spanngurt ohne Ratsche;120040;Ponsa;;;12;;;;Spanngurt 2,5t;2017-04-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2017-01-01;;;;120;DGUV 305-002
Ratsche für Spanngurt;120041;Ponsa;;;12;;;;Ratsche für Spanngurt 2,5t;2017-04-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2017-01-01;;;;120;DGUV 305-002
Akku-Schlagbohrschrauber;120042;Milwaukee;;;12;;;;HD18 PD;2012-01-01;LF-8/6-TH;Handwerkzeug und Messgerät;;LB12;2012-01-01;;;;;DGUV 305-002
Akke-Geradschleifer;120043;Milwaukee;;;12;;;;HD18 SG;2012-01-01;LF-8/6-TH;Handwerkzeug und Messgerät;;LB12;2012-01-01;;;;;DGUV 305-002
Türöffnungswerkzeug;120044;PAX;;;12;;;;;;LF-8/6-TH;Handwerkzeug und Messgerät;;LB12;;;;;;DGUV 305-002, Herstellerangaben
Aufsatz Armaturenbrett;120045;Weber Rescue;;;12;;;;Armaturen Druckplatte Vorne;;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;;;;;;DGUV 305-002, Herstellerangaben
Aufsatz Rückbank;120046;Weber Rescue;;;12;;;;Armaturen Druckplatte Hinten;;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;;;;;;DGUV 305-002, Herstellerangaben
Schwelleraufsatz;120047;Weber Rescue;;;12;;812.173.7;;Schwelleraufsatz;;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;;;;;;DGUV 305-002, Herstellerangaben
Akku-Säbelsäge;120048;Milwaukee;;;12;;;;HD18 SX;2012-01-01;LF-8/6-TH;Handwerkzeug und Messgerät;;LB12;2012-01-01;;;;;DGUV 305-002
Akku-Winkelschleifer 125mm;120049;Milwaukee;;;12;;;;M18 CAG 125X;2018-01-01;LF-8/6-TH;Handwerkzeug und Messgerät;;LB12;2018-01-01;;Nicht lesbar;;;DGUV 305-002
Hydraulikaggregat;120050;Weber Rescue;;;12;;107871803200116;;E70W-SAH20;2022-08-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2022-01-01;;021405;;;DGUV 305-002, Herstellerangaben
RZT-2 775 Verlängerung;120051;Weber Rescue;;;12;;3864588;;RZT-2 775 Verlängerung;2013-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2013-01-01;;;;;DGUV 305-002, Herstellerangaben
Rettungszylinder RZT-2 775;120052;Weber Rescue;;;12;;2195;;RZT-2 775;2013-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2013-01-01;;;;;DGUV 305-002, Herstellerangaben
Rettungszylinder RZT-2 1500;120053;Weber Rescue;;;12;;1166;;RZT-2 1500;2013-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2013-01-01;;;;;DGUV 305-002, Herstellerangaben
Spreizer SP 30 LS;120054;Weber Rescue;;;12;;;;SP 30 LS;1999-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;1999-01-01;;013212;;;DGUV 305-002, Herstellerangaben
Schere S180;120055;Weber Rescue;;Prüfblatt FEHLT!!;12;;2388;;S180;1999-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;1999-01-01;;;;;DGUV 305-002, Herstellerangaben
Schnellangriffseinrichtung;120056;Magirus;;;12;;;;;1999-01-01;LF-8/6-TH;Löschgerät;Löschgeräte;LB12;1999-01-01;;;;;DGUV 305-002
Kettensatz für Spreizer 4t;120057;;;;12;;;;;1999-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;1999-01-01;;;;;DGUV 305-002, Herstellerangaben
FP 8/8;120058;Magirus;;;12;;87990;;FP 8/8;1999-01-01;LF-8/6-TH;Pumpen;Pumpen;LB12;1999-01-01;;;;;DGUV 305-002
Verteiler B-CBC;120059;AWG;;;12;;;;AWG Verteiler mit StorzKupplung B-CBC;1999-01-01;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;1999-01-01;;013221;;;DGUV 305-002, Herstellerangaben
Saugkorb A;120060;AWG;;;12;;;;AWG Saugkorb A;1999-01-01;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;1999-01-01;;;;;DGUV 305-002, Herstellerangaben
Sammelstück 2B;120061;AWG;;;12;;;;AWG Sammelstück 2B;1999-01-01;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;1999-01-01;;;;;DGUV 305-002, Herstellerangaben
Sammelstück 2C;120062;AWG;;;12;;;;AWG Sammelstück 2C;1999-01-01;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;1999-01-01;;;;;DGUV 305-002, Herstellerangaben
Stützkrümmer B;120063;AWG;;;12;;;;AWG Stützkrümmer;1999-01-01;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;1999-01-01;;;;;DGUV 305-002, Herstellerangaben
Atemschutzüberwachungstafel;120064;Dräger;;;12;;;;REGIS 300;;LF-8/6-TH;Atemschutz;Atemschutzgeräte;LB12;;;;;;DGUV 305-002
TwinSaw Rettungssäge;120065;TwinSaw;;;12;;2016 0022;;CRE2326-520;2016-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2016-01-01;;019998;;;DGUV 3,4, 203-049
Elektro-Trennschleifer 230mm;120066;Bosch;;;12;;;;GWS 2000-23 J;;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;1999-01-01;;013218;;;DGUV 3,4, 203-049
Schaumrohr S4;120067;AWG;;;12;;;;;1999-01-01;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;1999-01-01;;;;;DGUV 305-002, Herstellerangaben
Hitzeschutzkleidung;120068;;Hose;Schutzkleidung für spez. Brandbekämpfung;12;;;DIN EN 1486;Glas-Alu;1999;LF8;PSA;Schutzkleidung Brandbekämpfung;LB12;;;;;;
Beinlinge (Schnittschutz);120069;;Form C;;;;;;;1999;LF8;PSA;Schutzkleidung TH;LB12;;;;;;
Schnittschutzhose;120070;;Latzhose;;;;0999/64/56;;;2003;LF8;PSA;Schutzkleidung TH;LB12;;;;;;
Holzfällerjacke;120071;;Schnittschutzjacke;;12;;;DIN EN 381;;1999;LF8;PSA;Schutzkleidung TH;LB12;;;;;;
Waldarbeiterhelm mit Visier;120072;;AQN1-2;;12;;;;;2003;LF8;PSA;Helme;LB12;;;;;;
Schutzbrille;120073;;;;;;;;;1999;LF8;PSA;Schutzkleidung sonstige;LB12;;;;;;
Warnweste;516;;;;12;;;DIN EN 471;;1999;LF8;PSA;Schutzkleidung sonstige;LB12;;;;;;
Helm;HE1;Junker;Alu;WIAP;12;;;DIN EN 433;;1988;GH;PSA;Helme;LB12;;;;;;
Helm;HE2;MSA-Gallet;F1SA12;SEDO;12;;1191075;DIN EN 433;;1997;GH;PSA;Helme;LB12;;;;;;
Helm;HE3;x;x;nicht prüfbar;12;;x;;;;GH;PSA;Helme;LB12;;;;;;
Helm;HE4;MSA-Gallet;F1SF25 B;MAHO;12;;1739427;DIN EN 443;;2008;GH;PSA;Helme;LB12;;;;;;
Helm;HE5;MSA-Gallet;F1E;ANJO;12;;1739422;DIN EN 443;;2008;GH;PSA;Helme;LB12;;;;;;
Helm;HE6;MSA-Gallet;F1SF25 B;MAJU;12;;1739426;DIN EN 443;;2008;GH;PSA;Helme;LB12;;;;;;
Helm;HE7;MSA-Gallet;F1SF25 B;RUGL;12;;1739429;DIN EN 443;;2008;GH;PSA;Helme;LB12;;;;;;
Helm;HE9;Draeger;F200;TIJO;12;;299;DIN EN 433;;1998;GH;PSA;Helme;LB12;;;;;;
Helm;HE11;MSA-Gallet;F1SF25 B;HALI;12;;1527662;DIN EN 443;;2008;GH;PSA;Helme;LB12;;;;;;
Helm;HE12;MSA-Gallet;F1S12;JOMA;12;;400530;DIN EN 433;;1997;GH;PSA;Helme;LB12;;;;;;
Helm;HE13;MSA-Gallet;F1S12;RAMA;12;;400531;DIN EN 433;;1997;GH;PSA;Helme;LB12;;;;;;
Helm;HE16;MSA-Gallet;F1SA12;SEME;12;;1191084;DIN EN 433;;1997;GH;PSA;Helme;LB12;;;;;;
Helm;HE17;MSA-Gallet;F1SF25 B;NONA;12;;1739428;DIN EN 433;;2008;GH;PSA;Helme;LB12;;;;;;
Helm;HE19;MSA-Gallet;F1SF25 B;FASI;12;;1527660;DIN EN 433;;2008;GH;PSA;Helme;LB12;;;;;;
Helm;HE21;MSA-Gallet;F1SF25 B;MASU;12;;1739424;DIN EN 433;;2008;GH;PSA;Helme;LB12;;;;;;
Helm;HE23;MSA-Gallet;F1SF25 B;DOWU;12;;1739425;DIN EN 433;;2008;GH;PSA;Helme;LB12;;;;;;
Helm;HE24;MSA-Gallet;F1SF25 B;MIWU;12;;1739423;DIN EN 433;;2008;GH;PSA;Helme;LB12;;;;;;
Überjacke 7;JA1;Bristol;Nomex Delta T;WIAP;12;;216;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 54;JA2;Watex;HuPF Teil1;SEDO;12;;;DIN EN 469;;2013;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke x;JA3;x;x;WOGL;12;;x;;;;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 8;JA4;Bristol;Nomex Delta T;MAHO;12;;309;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 9;JA5;Bristol;Nomex Delta T;ANJO;12;;419;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 56;JA7;Watex;HuPF Teil1;RUKL;12;;;DIN EN 469;;2010;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
TH Jacke 52;JA8;TH Jacke;HuPF Teil3;SAKU;12;;;DIN EN 469;;2012;GH;PSA;Schutzkleidung TH;LB12;;;;;;
Überjacke 7;JA9;Bristol;Nomex Delta T;SAKU;12;;192;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 64;JA10;Watex;HuPF Teil1;TIJO;12;;;DIN EN 469;;2013;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 7;JA11;Bristol;Nomex Delta T;KHKU;12;;168;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 58;JA12;Watex;HuPF Teil1;HALI;12;;;DIN EN 469;;2011;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 7;JA13;Bristol;Nomex Delta T;JOMA;12;;248;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 52;JA14;Novotex-Isomat;HuPF Teil3;RAMA;12;;;DIN EN 469;;2010;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 7;JA17;Bristol;Nomex Delta T;FEMA;12;;346;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 9;JA20;Bristol;Nomex Delta T;ANPO;12;;1;DIN EN 469;;1998;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 9;JA21;Bristol;Nomex Delta T;FASI;12;;412;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 7;JA23;Bristol;Nomex Delta T;MASU;12;;309;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 7;JA25;Bristol;Nomex Delta T;DOWU;12;;186;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 5;JA27;Bristol;Nomex Delta T;RAKU;12;;92;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 7;JA28;Bristol;Nomex Delta T;TOPO;12;;x;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
TH Jacke 54;JA29;Novotex-Isomat;HuPF Teil3;TOPO;12;;;DIN EN 469;;2014;GH;PSA;Schutzkleidung TH;LB12;;;;;;
Überjacke 8;JA30;Bristol;Nomex Delta T;TIRE;12;;395;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Überjacke 3;JA32;Bristol;Nomex Delta T;NISP;12;;3;DIN EN 469;;1997;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
TH Jacke 44;JA33;Novotex-Isomat;HuPF Teil3;NISP;12;;;DIN EN 469;;2014;GH;PSA;Schutzkleidung TH;LB12;;;;;;
Feuerwehrstiefel;120074;;;;;;;;;;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Feuerwehrhandschuhe;120075;;;;;;;;;;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Kopfhaube;120076;Albatros;Feuerschutzhaube;;12;;;DIN EN 13911;;;GH;PSA;Schutzkleidung sonstige;LB12;;;;;;
Rettungstrage;13197;;;SK7 /88/E;0;;;;;1987;LF8;Erste Hilfe & Hygiene;Sanitäts- & Wiederbelebungsgeräte;LB12;;;;;;
Vakuunmatraze mit Pumpe;120077;;;Zubehör Trage;1;;;;grün;1987;LF8;Erste Hilfe & Hygiene;Sanitäts- & Wiederbelebungsgeräte;LB12;;;;;;
Krankenhausdecke;120078;;;;0;;;;;2004;LF8;Erste Hilfe & Hygiene;Sanitäts- & Wiederbelebungsgeräte;LB12;;;;;;
Rettungsbrett;120079;;;Eigenbau;0;;;;;1999;LF8;Erste Hilfe & Hygiene;Sanitäts- & Wiederbelebungsgeräte;LB12;;;;;;
Rettungstuch m. Tasche;120080;;;;0;;;;;1999;LF8;Erste Hilfe & Hygiene;Sanitäts- & Wiederbelebungsgeräte;LB12;;;;;;
Leichentuch;120081;;;;0;;;;;1999;LF8;Erste Hilfe & Hygiene;Sanitäts- & Wiederbelebungsgeräte;LB12;;;;;;
